contestant_id,animal_id,strategy_spec,actual_return_pct,monkey_median_pct,excess_over_monkey_pct,percentile_rank,empirical_p_value,significant_95pct
CONTESTANT_C,meerkat-20,P_22_3,1.03%,1.07%,-0.04%,49.1%,0.5095,NO
CONTESTANT_C,meerkat-30,P_22_3,9.06%,1.07%,+7.99%,99.7%,0.0030,YES (p < 0.05)
CONTESTANT_C,meerkat-40,P_22_3,8.17%,1.07%,+7.10%,99.7%,0.0030,YES (p < 0.05)
CONTESTANT_C,meerkat-50,P_22_3,7.62%,1.07%,+6.55%,99.4%,0.0060,YES (p < 0.05)
CONTESTANT_C,meerkat-60,P_22_3,5.58%,1.07%,+4.51%,95.2%,0.0480,YES (p < 0.05)
CONTESTANT_C,meerkat-70,P_22_3,-6.63%,1.07%,-7.70%,0.0%,1.0000,NO
CONTESTANT_C,meerkat-80,P_22_3,-7.33%,1.07%,-8.40%,0.0%,1.0000,NO
CONTESTANT_C,meerkat-90,P_22_3,-1.47%,1.07%,-2.54%,18.1%,0.8192,NO
CONTESTANT_C,eagle-5-1,P_5_1,12.14%,0.35%,+11.79%,96.8%,0.0320,YES (p < 0.05)
CONTESTANT_C,eagle-11-2,P_11_2,7.08%,0.84%,+6.24%,93.8%,0.0619,NO
CONTESTANT_C,eagle-44-6,P_44_6,5.27%,1.59%,+3.68%,97.9%,0.0210,YES (p < 0.05)
CONTESTANT_C,eagle-66-9,P_66_9,4.76%,1.94%,+2.82%,97.7%,0.0230,YES (p < 0.05)
CONTESTANT_C,eagle-88-12,P_88_12,6.03%,2.60%,+3.43%,99.9%,0.0010,YES (p < 0.05)
CONTESTANT_C,whale-shark,P_123_17,5.57%,3.70%,+1.87%,99.8%,0.0020,YES (p < 0.05)
CONTESTANT_D,robot,P_22_3,7.67%,1.07%,+6.60%,99.4%,0.0060,YES (p < 0.05)
CONTESTANT_D,sloth-1,P_22_3,7.34%,1.07%,+6.27%,99.1%,0.0090,YES (p < 0.05)
CONTESTANT_D,sloth-2,P_22_3,6.40%,1.07%,+5.33%,97.6%,0.0240,YES (p < 0.05)
CONTESTANT_D,sloth-3,P_22_3,3.16%,1.07%,+2.09%,78.0%,0.2198,NO
CONTESTANT_D,sloth-4,P_22_3,0.17%,1.07%,-0.90%,36.5%,0.6354,NO
CONTESTANT_D,snail-1,P_22_3,5.75%,1.07%,+4.68%,95.7%,0.0430,YES (p < 0.05)
CONTESTANT_D,snail-2,P_22_3,1.71%,1.07%,+0.64%,57.9%,0.4206,NO
CONTESTANT_D,snail-3,P_22_3,1.50%,1.07%,+0.44%,55.7%,0.4426,NO
CONTESTANT_D,snail-4,P_22_3,1.13%,1.07%,+0.06%,50.9%,0.4905,NO
CONTESTANT_D,rabbit-1,P_22_11,12.47%,0.70%,+11.77%,99.9%,0.0010,YES (p < 0.05)
CONTESTANT_D,rabbit-2,P_22_22,10.90%,0.03%,+10.87%,99.9%,0.0010,YES (p < 0.05)
CONTESTANT_D,turtle,P_22_1,1.51%,1.21%,+0.30%,54.4%,0.4555,NO
CONTESTANT_D,koala,P_22_3,-13.52%,1.07%,-14.59%,0.0%,1.0000,NO
CONTESTANT_D,meerkat-10,P_22_3,2.69%,1.07%,+1.62%,70.2%,0.2977,NO
